CzeV;ID (UCAC4);VSX ID;RA [h m s];DE [ø ' ''];Const;Type;V [mag];J [mag];J-K [mag];Amp [mag];Passband;M0 [JD];P [d];Discoverer;Year;Online information
1;UCAC4 537-046686;FF Cnc;08 29 39.312;+17 17 00.58;Cnc;EA;10.77;9.384;0.531;0.57;C;2452500.939;1.469331;PeP;1993;http://var2.astro.cz/czev.php?id=1
2;UCAC4 797-019460;ES UMa;09 54 28.620;+69 13 22.28;UMa;EW;11;10.194;0.251;0.39;V;2454829.6982;0.528847;KaH, JK;1993;http://var2.astro.cz/czev.php?id=2
3;UCAC4 655-102227;;21 36 09.916;+40 52 39.07;Cyg;;10.7;7.978;0.936;;;;;MZ;1998;http://var2.astro.cz/czev.php?id=3
4;UCAC4 638-091827;V2240 Cyg;20 15 55.943;+37 27 15.53;Cyg;EW;11.94;11.185;0.236;;;2456518.9723;0.404161;JS;1999;http://var2.astro.cz/czev.php?id=4
5;UCAC4 638-091516;V2239 Cyg;20 15 17.569;+37 31 43.92;Cyg;EA;11.95;10.845;0.318;;;2451427.4063;0.610595;JS;1999;http://var2.astro.cz/czev.php?id=5
6;UCAC4 450-086568;;18 55 45.481;-00 00 44.33;Aql;;11.97;9.698;0.387;;;;;MZ;1999;http://var2.astro.cz/czev.php?id=6
7;UCAC4 629-008536;V0680 Per;02 41 41.016;+35 42 54.87;Per;EW;13.58;12.591;0.293;0.58;C;2452996.6731;0.373973;MZ;2000;http://var2.astro.cz/czev.php?id=7
8;UCAC4 504-106930;;19 31 30.415;+10 47 08.69;Aql;;12.32;11.278;0.356;;;;;MZ;2000;http://var2.astro.cz/czev.php?id=8
9;UCAC4 511-104980;;19 35 42.319;+12 04 32.49;Aql;;16.18;7.513;1.503;;;;;MZ;2000;http://var2.astro.cz/czev.php?id=9
10;UCAC4 545-132078;;20 41 29.487;+18 54 41.56;Del;;;13.257;0.746;;;;;MZ;2000;http://var2.astro.cz/czev.php?id=10
11;UCAC4 652-014187;;03 21 40.199;+40 18 29.19;Per;;15.8;14.449;0.472;;;;;MZ;2000;http://var2.astro.cz/czev.php?id=11
12;UCAC4 646-088726;V2422 Cyg;20 16 58.829;+39 05 23.88;Cyg;EB;13.26;12.05;0.29;0.55;V;2452122.459;0.506166;KK,PH,DM ;2000;http://var2.astro.cz/czev.php?id=12
13;UCAC4 607-106328;V2546 Cyg;20 28 04.912;+31 17 09.72;Cyg;EW;10.96;10.637;0.172;0.56;R;2451358.748;0.62279;MZ;2003;http://var2.astro.cz/czev.php?id=13
14;UCAC4 726-104478;V1188 Cas;23 29 42.222;+55 03 47.15;Cas;EW;15.21;14.047;0.327;0.5;V;2452859.3088;0.662505;KK, PH, DM;2003;http://var2.astro.cz/czev.php?id=14
15;UCAC4 661-000894;V0469 And;00 11 22.047;+42 05 39.04;And;EW;;14.162;0.481;0.8;R;2452859.5092;0.328177;KK, PH, DM;2003;http://var2.astro.cz/czev.php?id=15
16;UCAC4 712-113372;V1186 Cas;23 27 02.360;+52 14 47.51;Cas;EW:;13.11;12.113;0.203;0.3;V;2452857.4245;0.6152;KK, PH, DM;2003;http://var2.astro.cz/czev.php?id=16
17;UCAC4 576-123244;V0516 Vul;21 30 09.220;+25 10 42.45;Vul;EW;;12.663;0.4;0.6;R;;;KK, PH, DM;2003;http://var2.astro.cz/czev.php?id=17
18;UCAC4 748-081665;V1184 Cas;23 03 49.476;+59 30 03.61;Cas;EW;14.89;12.985;0.546;0.2;R;2452879.449;0.577032;KK, PH, DM;2003;http://var2.astro.cz/czev.php?id=18
19;UCAC4 555-066517;V1107 Her;18 14 23.135;+20 54 28.35;Her;SR;15.37;8.057;1.325;;;2452116;95.8;OP;2002;http://var2.astro.cz/czev.php?id=19
20;UCAC4 533-087594;V1684 Aql;19 03 33.398;+16 31 19.54;Aql;SRB;12.73;5.158;1.157;1.1;V;2454388;110.3;OP;2003;http://var2.astro.cz/czev.php?id=20
21;USNO-B1.0 0921-0514273;Pej 003;19 01 39.333;+02 06 43.91;Aql;SR;;7.572;2.256;;;;;OP;2003;http://var2.astro.cz/czev.php?id=21
22;UCAC4 465-091770;Pej 004;19 11 00.675;+02 52 41.98;Aql;;11.75;9.948;0.362;0.2;V;;;OP;2003;http://var2.astro.cz/czev.php?id=22
23;UCAC4 465-091730;Pej 005;19 10 57.705;+02 52 08.93;Aql;SR;;7.009;1.744;0.7;Rc;;;OP;2003;http://var2.astro.cz/czev.php?id=23
24;UCAC4 435-088535;Pej 006;19 04 01.207;-03 05 11.94;Aql;SR;14.84;6.133;1.747;1.8;V;;132.2;OP;2003;http://var2.astro.cz/czev.php?id=24
25;UCAC4 435-088109;Pej 007;19 03 27.810;-03 01 43.30;Aql;M:;;11.15;1.621;1;Ic;;;OP;2003;http://var2.astro.cz/czev.php?id=25
26;UCAC4 417-097364;Pej 008;18 48 31.092;-06 42 49.48;Sct;SR;13.53;6.948;1.438;0.4;V;;;OP;2003;http://var2.astro.cz/czev.php?id=26
27;UCAC4 417-097082;Pej 009;18 48 22.526;-06 43 12.43;Sct;SR;;8.41;1.525;0.7;Rc;;;OP;2003;http://var2.astro.cz/czev.php?id=27
28;UCAC4 417-096910;Pej 010;18 48 16.430;-06 40 03.60;Sct;SR;14.45;8.283;1.488;0.6;Rc;;;OP;2003;http://var2.astro.cz/czev.php?id=28
29;USNO-B1.0 0853-0436795;Pej 011;18 54 04.135;-04 38 32.46;Sct;SR;;8.988;1.685;;;;;OP;2003;http://var2.astro.cz/czev.php?id=29
30;USNO-B1.0 0950-0392950;Pej 012;18 44 25.485;+05 00 12.99;Ser;M;;9.207;1.821;1.9;Ic;;;OP;2003;http://var2.astro.cz/czev.php?id=30
31;UCAC4 573-086600;Pej 013;19 23 25.921;+24 31 10.48;Vul;;10.36;9.105;0.384;0.25;V;;;OP;2003;http://var2.astro.cz/czev.php?id=31
32;UCAC4 449-078621;Pej 014;18 15 31.447;-00 22 33.93;Ser;M;;7.924;1.7;1.1;Rc;2451420;215;OP;2003;http://var2.astro.cz/czev.php?id=32
33;UCAC4 449-078462;Pej 015;18 14 58.560;-00 23 00.47;Ser;SR;;9.914;1.481;0.9;Rc;;;OP;2003;http://var2.astro.cz/czev.php?id=33
34;UCAC4 551-124797;NSVS J2035445+200655;20 35 44.370;+20 06 56.49;Del;M;;7.683;1.282;2.4;Rc;2453131;246;OP;2003;http://var2.astro.cz/czev.php?id=34
35;USNO-B1.0 1086-0443921;Pej 017;19 45 31.337;+18 37 11.39;Sge;SR:;;9.848;1.593;0.5;Ic;;;OP;2003;http://var2.astro.cz/czev.php?id=35
36;UCAC4 599-077343;V2497 Cyg;19 23 57.360;+29 37 12.91;Cyg;EW;;12.223;0.496;0.57;V;2452888.3824;0.3688;OP;2003;http://var2.astro.cz/czev.php?id=36
37;UCAC4 599-077491;Pej 019;19 24 10.508;+29 42 47.71;Cyg;SR;;10.213;1.296;1;V;;;OP;2003;http://var2.astro.cz/czev.php?id=37
38;UCAC4 650-081030;Pej 020;19 57 14.920;+39 49 54.35;Cyg;SR:;;9.71;1.416;0.25;Ic;;;OP;2003;http://var2.astro.cz/czev.php?id=38
39;UCAC4 519-081534;Pej 021;18 44 58.033;+13 40 32.34;Her;SR:;;7.27;1.426;;;;;OP;2003;http://var2.astro.cz/czev.php?id=39
40;UCAC4 583-091724;Pej 022;19 39 22.747;+26 31 53.67;Vul;SR:;;9.466;1.885;;;;;OP;2003;http://var2.astro.cz/czev.php?id=40
41;UCAC4 660-001800;V0490 And;00 26 48.749;+41 50 04.13;And;EW;14.9;13.538;0.347;0.5;V;;;OP;2004;http://var2.astro.cz/czev.php?id=41
42;UCAC4 461-086436;V1740 Aql;19 02 07.042;+02 07 27.12;Aql;EW;;13.322;0.677;0.4;Ic;2453205.4431;0.44014;OP;2004;http://var2.astro.cz/czev.php?id=42
43;UCAC4 634-063403;V0674 Lyr;19 04 29.182;+36 39 49.30;Lyr;EW;;14.024;0.598;0.3;Rc;2454249.495;0.300374;OP;2004;http://var2.astro.cz/czev.php?id=43
44;UCAC4 670-064717;V1302 Her;17 52 39.063;+43 49 29.35;Her;EW;12.43;11.287;0.469;0.22;Rc;2454610.3476;0.316289;OP;2004;http://var2.astro.cz/czev.php?id=44
45;UCAC4 655-102036;CzeV045;21 35 30.794;+40 52 44.57;Cyg;EW;13.43;11.984;0.526;;;2454298.4911;0.28;MZ;2004;http://var2.astro.cz/czev.php?id=45
46;UCAC4 607-105948;;20 27 08.371;+31 14 29.17;Cyg;EA:;10.42;9.719;0.145;0.9;V;2457632.536;5.713327;MZ;2004;http://var2.astro.cz/czev.php?id=46
47;UCAC4 606-109143;V2545 Cyg;20 27 26.543;+31 05 38.39;Cyg;EW;11.34;10.357;0.363;0.3;V;2453238.6459;0.36919;MZ;2004;http://var2.astro.cz/czev.php?id=47
48;UCAC4 605-109855;V2549 Cyg;20 31 22.007;+30 58 38.31;Cyg;EA;10.76;9.912;0.319;0.59;Rc;2453288.505;1.03832;MZ;2004;http://var2.astro.cz/czev.php?id=48
49;UCAC4 693-099703;;21 37 50.095;+48 25 20.72;Cyg;;16.37;13.156;0.876;;;;;MZ;2004;http://var2.astro.cz/czev.php?id=49
50;UCAC4 764-029901;;04 00 10.377;+62 46 00.02;Cam;EA:;9.28;6.864;0.708;;;;;MZ;2004;http://var2.astro.cz/czev.php?id=50
51;UCAC4 555-106567;USNO-B1.0 1108-0490540;20 06 36.281;+20 53 15.59;Sge;E:;;12.97;0.42;;;;;MZ;2004;http://var2.astro.cz/czev.php?id=51
52;UCAC4 595-079838;;19 27 21.806;+28 57 29.17;Cyg;;;14.355;0.339;;;;;MZ;2004;http://var2.astro.cz/czev.php?id=52
53;UCAC4 616-074972;CzeV53;19 27 33.623;+33 03 08.63;Cyg;EW;;12.669;0.275;0.4;Rc;2452255.2469;0.402046;MZ;2004;http://var2.astro.cz/czev.php?id=53
54;UCAC4 720-093314;;22 25 20.046;+53 50 35.40;Lac;;14.98;13.47;0.393;;;;;MZ;2004;http://var2.astro.cz/czev.php?id=54
55;UCAC4 598-016955;;05 09 19.155;+29 35 38.98;Aur;;9.29;7.831;0.403;;;;;MZ;2004;http://var2.astro.cz/czev.php?id=55
56;UCAC4 806-005992;UCAC3 323-013086;01 33 38.528;+71 02 37.35;Cas;EA;14.13;13.057;0.315;0.6;V;2455944.4282;;MZ;2004;http://var2.astro.cz/czev.php?id=56
57;UCAC4 583-124212;;21 39 12.821;+26 31 26.84;Peg;EW:;14.87;13.6;0.416;;;;;MZ;2004;http://var2.astro.cz/czev.php?id=57
58;UCAC4 681-037267;1SWASP J052926.88+461147.5;05 29 26.927;+46 11 47.38;Aur;EW;15.64;13.071;0.659;0.25;V;2453360.36;0.226642;MZ;2004;http://var2.astro.cz/czev.php?id=58
59;UCAC4 374-178300;;22 22 33.778;-15 23 01.84;Aqr;;9.68;7.37;0.746;;;;;MZ;2004;http://var2.astro.cz/czev.php?id=59
60;UCAC4 737-078080;;21 47 19.567;+57 17 54.69;Cep;;9.97;7.589;0.683;;;;;MZ;2004;http://var2.astro.cz/czev.php?id=60
61;UCAC4 773-056413;V0895 Cep;22 36 37.309;+64 32 53.30;Cep;EA;10.87;9.756;0.212;;;2453109.4969;2.4859;MZ;2004;http://var2.astro.cz/czev.php?id=61
62;UCAC4 474-035548;DW CMi;07 40 33.075;+04 42 20.04;CMi;EW;14.63;13.127;0.429;;;2452611.6147;0.307555;JP, JS;2004;http://var2.astro.cz/czev.php?id=62
63;UCAC4 453-043838;FASTT 390;08 14 08.061;+00 29 11.02;Hya;EW;14.64;13.331;0.324;0.4;C;2453464.79;0.254807;MZ;2004;http://var2.astro.cz/czev.php?id=63
64;UCAC4 471-004288;;03 01 44.220;+04 04 01.61;Cet;;10.44;8.232;0.744;;;;;MZ;2004;http://var2.astro.cz/czev.php?id=64
65;UCAC4 538-031653;;06 41 05.322;+17 27 17.97;Gem;;11.27;8.864;0.79;;;2453028;;MZ;2004;http://var2.astro.cz/czev.php?id=65
66;UCAC4 422-096425;CS Sct;18 51 51.904;-05 44 42.88;Sct;EA;14.35;11.167;0.913;1;p;2428777.83;16.5347;MZ;2004;http://var2.astro.cz/czev.php?id=66
67;USNO-B1.0 0842-0451263;GDS_J1851244-054635;18 51 24.376;-05 46 36.16;Sct;;;8.717;1.86;;;;;MZ;2004;http://var2.astro.cz/czev.php?id=67
68;UCAC4 422-095817;;18 51 16.937;-05 44 35.61;Sct;;;12.247;1.051;;;;;MZ;2004;http://var2.astro.cz/czev.php?id=68
69;USNO-B1.0 0848-0414802;;18 44 02.583;-05 06 20.29;Sct;;;8.209;2.266;;;;;MZ;2004;http://var2.astro.cz/czev.php?id=69
70;UCAC4 425-086335;GDS_J1843371-051101;18 43 37.178;-05 11 01.72;Sct;;14.65;11.675;0.449;;;;;MZ;2004;http://var2.astro.cz/czev.php?id=70
71;UCAC4 424-087158;;18 43 58.430;-05 12 52.24;Sct;;;9.095;1.889;;;;;MZ;2004;http://var2.astro.cz/czev.php?id=71
72;2MASS 18435497-0513343;;18 43 54.978;-05 13 34.31;Sct;;;9.34;2.296;;;;;MZ;2004;http://var2.astro.cz/czev.php?id=72
73;2MASS 18433896-0510524;;18 43 38.964;-05 10 52.40;Sct;;;9.701;2.26;;;;;MZ;2004;http://var2.astro.cz/czev.php?id=73
74;USNO-B1.0 0848-0414739;GDS_J1844016-050845;18 44 01.678;-05 08 44.82;Sct;;;8.125;1.912;;;;;MZ;2004;http://var2.astro.cz/czev.php?id=74
75;UCAC4 424-086844;GDS_J1843357-051209;18 43 35.706;-05 12 09.66;Sct;;;7.335;1.742;;;;;MZ;2004;http://var2.astro.cz/czev.php?id=75
76;UCAC4 420-093422;;18 45 04.630;-06 06 38.88;Sct;;;11.262;1.268;;;;;MZ;2004;http://var2.astro.cz/czev.php?id=76
77;UCAC4 458-048454;AI Sex;10 03 46.343;+01 25 10.30;Sex;EB;10.86;10.552;0.494;0.25;V;2453386.612;0.60362;LB;2005;http://var2.astro.cz/czev.php?id=77
78;UCAC4 453-044500;V0476 Hya;08 20 59.851;+00 31 01.50;Hya;EW;13.15;11.77;0.387;0.55;V;2453675.84;0.414588;LB;2005;http://var2.astro.cz/czev.php?id=78
79;UCAC4 851-002014;V0796 Cep;01 41 36.453;+80 04 18.99;Cep;EW;12.28;11.298;0.311;0.65;V;2453433.636;0.392966;LB;2005;http://var2.astro.cz/czev.php?id=79
80;;;;;;;;;;;;;;;;http://var2.astro.cz/czev.php?id=80
81;;;;;;;;;;;;;;;;http://var2.astro.cz/czev.php?id=81
82;UCAC4 529-032234;;06 46 50.976;+15 41 51.53;Gem;;15.38;14.569;0.31;;;;;MZ;2005;http://var2.astro.cz/czev.php?id=82
83;UCAC4 657-048110;NSVS 4705605;07 24 07.533;+41 19 11.47;Aur;EA;11.88;10.968;0.328;0.62;Rc;2453380.31;2.22775;MZ;2005;http://var2.astro.cz/czev.php?id=83
84;UCAC4 444-034237;V0936 Mon;07 19 10.400;-01 23 05.34;Mon;EW;13.97;12.879;0.271;0.5;V;2453523.4483;0.368962;MZ;1998;http://var2.astro.cz/czev.php?id=84
85;UCAC4 454-029400;NSVS 12659231;07 08 29.381;+00 41 11.79;Mon;;13.75;12.636;0.398;;;;;MZ;2005;http://var2.astro.cz/czev.php?id=85
86;CzeV 85;;;;;;;;;;;;;MZ;2005;http://var2.astro.cz/czev.php?id=86
87;UCAC4 454-029482;BM Mon;07 08 43.621;+00 41 43.92;Mon;EW;15.22;14.4;0.461;;;2451397.2197;0.401946;MZ;2005;http://var2.astro.cz/czev.php?id=87
88;UCAC4 471-017471;;06 18 58.458;+04 11 28.71;Ori;;9;7.564;0.1;;;;;MZ;2005;http://var2.astro.cz/czev.php?id=88
89;UCAC4 471-017507;;06 19 08.903;+04 08 50.45;Ori;EW:;13.6;11.903;0.467;0.22;Rc;2453671.59;0.374073;MZ;2005;http://var2.astro.cz/czev.php?id=89
90;UCAC4 512-035470;ET CMi;07 09 20.834;+12 12 14.00;CMi;EW;12.95;12.278;0.255;0.09;Rc;2454107.6042;0.435898;MZ;2005;http://var2.astro.cz/czev.php?id=90
91;UCAC4 512-035338;;07 08 44.271;+12 15 18.62;CMi;;12.15;10.79;0.485;;;;;MZ;2005;http://var2.astro.cz/czev.php?id=91
92;UCAC4 688-029440;GSC 03332-00638;04 15 59.570;+47 26 53.75;Per;EW;;13.467;0.403;0.26;Rc;2455847.4918;0.40971;MZ;2005;http://var2.astro.cz/czev.php?id=92
93;UCAC4 622-095731;;20 13 59.200;+34 15 13.20;Cyg;EA:;15.63;13.247;0.462;0.8;Rc;;;KK, PH, DM;2004;http://var2.astro.cz/czev.php?id=93
94;UCAC4 592-128950;V0449 Peg;21 39 43.085;+28 22 39.18;Peg;EW;15.26;13.629;0.436;0.43;Rc;2453233.223;0.352655;KK, PH, DM;2004;http://var2.astro.cz/czev.php?id=94
95;UCAC4 748-081828;;23 04 26.249;+59 34 01.19;Cas;EA:;;13.647;0.432;;;;;KK, PH, DM;2003;http://var2.astro.cz/czev.php?id=95
96;UCAC4 616-091175;;19 54 15.218;+33 02 42.40;Cyg;;;14.379;0.431;;;;;EZ, JS;2005;http://var2.astro.cz/czev.php?id=96
97;UCAC4 556-116605;;20 21 13.762;+21 08 38.40;Sge;EA:;;8.574;1.276;;;;;LB;2005;http://var2.astro.cz/czev.php?id=97
98;UCAC4 571-074371;;18 51 51.710;+24 08 20.19;Her;E:;;13.975;0.604;0.6;Rc;;;DM;2005;http://var2.astro.cz/czev.php?id=98
99;UCAC4 553-100454;V0494 Vul;19 53 16.613;+20 33 42.95;Vul;DSCT;12.17;11.04;0.203;0.2;V;2453541.5825;0.135658;LB;2005;http://var2.astro.cz/czev.php?id=99
100;UCAC4 721-089423;;22 12 45.698;+54 11 39.92;Lac;DSCT;13.28;11.947;0.236;;;;;LB;2005;http://var2.astro.cz/czev.php?id=100
101;UCAC4 502-126897;;20 13 39.683;+10 22 02.19;Aql;;12.31;12.016;0.344;;;;;DM;2005;http://var2.astro.cz/czev.php?id=101
102;UCAC4 722-088574;;22 12 07.710;+54 15 04.09;Cep;EW;13.38;11.953;0.437;0.4;Rc;2457329.5163;0.353642;PeS;2005;http://var2.astro.cz/czev.php?id=102
103;UCAC4 729-081067;V0876 Cep;22 13 36.988;+55 44 27.73;Cep;DSCT;11.24;10.047;0.266;0.15;Rc;2452617.476;0.148585;ML, MB;2002;http://var2.astro.cz/czev.php?id=103
104;UCAC4 556-118532;;20 25 56.529;+21 01 33.68;Vul;E:;;12.461;0.626;;;;;LB;2005;http://var2.astro.cz/czev.php?id=104
105;UCAC4 556-118128;;20 24 53.949;+21 03 16.01;Vul;E:;;12.781;0.317;;;;;LB;2005;http://var2.astro.cz/czev.php?id=105
106;UCAC4 851-002040;V0797 Cep;01 42 47.654;+80 07 52.25;Cep;EW;14.68;13.106;0.598;;;2453715.41;0.270416;LB;2005;http://var2.astro.cz/czev.php?id=106
107;UCAC4 756-012555;V1275 Cas;01 11 08.921;+61 07 44.88;Cas;EW;;12.89;0.586;;;2454092.275;0.30224;LB;2005;http://var2.astro.cz/czev.php?id=107
108;UCAC4 721-095872;GSC 03983-00544;22 33 06.397;+54 05 41.70;Lac;EW;13.39;12.021;0.463;0.3;Rc;2453992.611;0.407827;LB;2005;http://var2.astro.cz/czev.php?id=108
109;UCAC4 721-095864;;22 33 04.327;+54 06 41.72;Lac;EA:;12.11;11.33;0.13;;;;;LB;2005;http://var2.astro.cz/czev.php?id=109
110;UCAC4 754-025918;;02 41 41.508;+60 38 25.30;Cas;;13.39;11.765;0.358;;;;;LB;2005;http://var2.astro.cz/czev.php?id=110
111;UCAC4 699-114586;USNO-A2.0 1350-17271530;22 45 24.037;+49 44 29.64;Lac;EA:;;13.494;0.382;0.4;Rc;;;LB;2005;http://var2.astro.cz/czev.php?id=111
112;UCAC4 444-045084;;08 13 46.187;-01 14 47.20;Hya;;9.23;7.647;0.598;;;;;JP, MZ;2005;http://var2.astro.cz/czev.php?id=112
113;UCAC4 604-134527;V0560 Peg;23 01 31.546;+30 44 27.35;Peg;EA|EB;10.75;9.995;0.307;0.44;V;2452884.4259;0.471653;JP, MZ;2005;http://var2.astro.cz/czev.php?id=113
114;UCAC4 751-002145;V1248 Cas;00 11 28.973;+60 04 02.26;Cas;EA;14.35;12.882;0.461;;;;;JP, JS;2005;http://var2.astro.cz/czev.php?id=114
115;UCAC4 721-095734;TYC 3983-1532-1;22 32 37.892;+54 05 27.33;Lac;EA;10.43;8.607;0.562;0.5;B;2454021.4834;11.15722;LS;2005;http://var2.astro.cz/czev.php?id=115
116;UCAC4 753-003183;NSVS 1615504;00 14 13.841;+60 27 02.88;Cas;EB;11.92;10.36;0.433;;;2451423.27;0.78247;LB;2006;http://var2.astro.cz/czev.php?id=116
117;UCAC4 753-026483;;02 40 30.770;+60 34 39.68;Cas;M:;15.43;7.789;1.766;0.23;Rc;;;PS;2006;http://var2.astro.cz/czev.php?id=117
118;UCAC4 657-048125;CSS_J072431.0+412104;07 24 31.071;+41 21 04.46;Aur;EW:;14.8;13.626;0.4;0.3;B;;;PS;2006;http://var2.astro.cz/czev.php?id=118
119;UCAC4 675-096518;;21 11 47.418;+44 51 22.63;Cyg;SR:;15.38;6.339;-0.022;;;;;LB, LS, RD;2006;http://var2.astro.cz/czev.php?id=119
120;UCAC4 718-093800;;22 14 41.604;+53 29 23.15;Lac;;14.66;13.29;0.474;;;;;EZ, MZ;2006;http://var2.astro.cz/czev.php?id=120
121;UCAC4 530-139547;;20 53 16.340;+15 57 43.26;Del;;14.71;13.989;0.424;;;;;EZ, MZ;2006;http://var2.astro.cz/czev.php?id=121
122;UCAC4 512-126284;UCAC3 205-282753;20 39 46.339;+12 21 05.05;Del;;14.1;12.989;0.369;;;;;EZ, JS;2006;http://var2.astro.cz/czev.php?id=122
123;UCAC4 554-091823;;19 49 16.790;+20 39 32.98;Vul;;14.62;12.985;0.473;;;;;EZ, MZ, JS;2006;http://var2.astro.cz/czev.php?id=123
124;UCAC4 634-091472;;20 15 35.013;+36 47 20.25;Cyg;;14.05;12.677;0.423;;;;;EZ, JS;2006;http://var2.astro.cz/czev.php?id=124
125;UCAC4 641-083462;HAT 199-23051;19 58 18.690;+38 10 52.46;Cyg;;;8.083;1.46;;;;;EZ, MZ;2006;http://var2.astro.cz/czev.php?id=125
126;UCAC4 641-083609;HAT 199-35176;19 58 35.778;+38 10 42.91;Cyg;EB;;11.838;0.151;0.298;Ic;;;EZ, MZ;2006;http://var2.astro.cz/czev.php?id=126
127;UCAC4 767-069388;;23 13 55.030;+63 14 43.11;Cep;E;8.91;8.483;-0.044;0.2;V;;;PS;2006;http://var2.astro.cz/czev.php?id=127
128;UCAC4 636-007703;BV Tri;02 13 32.002;+37 02 36.78;Tri;EB:;15.51;13.563;0.589;0.3;Rc;2454000.4696;0.494177;ML;2006;http://var2.astro.cz/czev.php?id=128
129;UCAC4 756-008347;V1053 Cas;00 47 12.697;+61 02 03.80;Cas;EW;;14.511;0.354;0.6;Rc;;;ML;2006;http://var2.astro.cz/czev.php?id=129
130;UCAC4 636-007667;BU Tri;02 13 01.501;+37 03 25.94;Tri;EW;;14.281;0.391;0.6;Rc;2453999.4197;0.295566;ML;2006;http://var2.astro.cz/czev.php?id=130
131;UCAC4 775-012936;GSC 04041-00673;02 11 27.785;+64 49 39.02;Cas;EA;12.75;10.919;0.497;0.4;Rc;2454019.5464;0.66292;HK, KT, RD;2007;http://var2.astro.cz/czev.php?id=131
132;UCAC4 680-123261;CzeV132;22 30 23.143;+45 52 15.25;Lac;EW;;14.374;0.581;0.7;C;2454337.9419;0.33658;JT;2007;http://var2.astro.cz/czev.php?id=132
133;USNO-B1.0 1357-0498433;CzeV133;22 30 51.295;+45 45 26.32;Lac;EW;;15.555;0.5;0.4;C;2454359.506;0.32909;JT;2007;http://var2.astro.cz/czev.php?id=133
134;UCAC4 747-012171;V1276 Cas;01 22 26.268;+59 12 36.19;Cas;RRC;12.16;10.337;0.471;0.176;V;2453236.5041;0.419794;RK;2007;http://var2.astro.cz/czev.php?id=134
135;UCAC4 747-011804;V1094 Cas;01 20 23.050;+59 17 15.63;Cas;EW;12.84;11.713;0.307;0.46;V;2454543.7918;0.51429;RK;2007;http://var2.astro.cz/czev.php?id=135
136;UCAC4 646-090652;;20 23 22.304;+39 01 56.92;Cyg;DSCT;10.47;8.984;0.239;0.07;C;2454265.7097;0.193812;HK ;2007;http://var2.astro.cz/czev.php?id=136
137;UCAC4 728-091214;V0498 Lac;22 34 29.326;+55 29 02.78;Lac;EW;15.93;14.15;0.558;0.43;Rc;2454387.3527;0.387182;ML;2007;http://var2.astro.cz/czev.php?id=137
138;UCAC4 728-091168;V0495 Lac;22 34 16.256;+55 34 23.84;Lac;EA;13.61;12.12;0.426;0.13;Rc;2454387.5856;1.1058;ML;2007;http://var2.astro.cz/czev.php?id=138
139;UCAC4 728-091187;V0496 Lac;22 34 21.476;+55 30 13.28;Lac;EA;13.07;11.52;0.431;0.26;Rc;2454373.281;1.32435;ML;2007;http://var2.astro.cz/czev.php?id=139
140;UCAC4 594-087574;;19 38 58.881;+28 41 17.30;Cyg;EA;14.28;20;0;1;Rc;;;DH;2007;http://var2.astro.cz/czev.php?id=140
141;UCAC4 464-070362;CzeV141;18 02 40.337;+02 47 00.53;Oph;EW;14.98;13.689;0.568;;;2454373.282;0.41776;JT;2007;http://var2.astro.cz/czev.php?id=141
142;UCAC4 464-070295;V3300 Oph;18 02 26.353;+02 47 41.05;Oph;E;14.69;13.383;0.456;;;2443332.356;0.381148;JT;2007;http://var2.astro.cz/czev.php?id=142
143;UCAC4 465-070806;;18 02 15.065;+02 51 51.00;Oph;EW:;16.01;13.914;0.58;;;;;JT;2007;http://var2.astro.cz/czev.php?id=143
144;UCAC4 465-071047;;18 03 02.596;+02 56 03.26;Oph;EW:;15.86;14.18;0.584;;;;;JT;2007;http://var2.astro.cz/czev.php?id=144
145;UCAC4 765-014855;;01 33 02.534;+62 57 37.39;Cas;;10.93;9.597;0.301;;;;;LB;2007;http://var2.astro.cz/czev.php?id=145
146;UCAC4 799-029886;CzeV146;20 59 52.014;+69 40 12.30;Cep;DSCT;;14.725;0.457;;;2454453.2844;0.0519;JT;2007;http://var2.astro.cz/czev.php?id=146
147;UCAC4 441-024827;GDS_J0656324-015340;06 56 32.432;-01 53 40.40;Mon;;14.52;13.033;0.464;;;;;FL;2008;http://var2.astro.cz/czev.php?id=147
148;UCAC4 561-032093;;06 33 50.349;+22 00 55.98;Gem;;14.48;13.843;0.209;;;;;FL;2008;http://var2.astro.cz/czev.php?id=148
149;UCAC4 560-031225;CzeV149;06 33 11.706;+21 56 27.59;Gem;EW;12.94;12.691;-0.007;0.17;C;2453221.32;0.43099;FL;2008;http://var2.astro.cz/czev.php?id=149
150;UCAC4 561-031944;;06 33 19.550;+22 06 28.59;Gem;EW;;14.575;0.605;0.22;C;2454491.3927;0.33958;FL;2008;http://var2.astro.cz/czev.php?id=150
151;UCAC4 482-016828;V2784 Ori;06 11 07.043;+06 17 11.49;Ori;EA;13.21;12.02;0.302;0.6;V;2454420.8172;1.831256;PZ;2008;http://var2.astro.cz/czev.php?id=151
152;UCAC4 393-021063;;07 02 50.502;-11 25 53.32;CMa;;13.93;12.527;0.333;;;2454536.356;0.958;PZ;2008;http://var2.astro.cz/czev.php?id=152
153;UCAC4 795-041728;V0960 Cep;23 51 13.145;+68 55 26.07;Cep;EW;13.21;11.094;0.569;0.7;Rc;2454585.6474;0.333985;LB;2008;http://var2.astro.cz/czev.php?id=153
