CzeV;ID (UCAC4);VSX ID;RA [h m s];DE [ø ' ''];Const;Type;V [mag];J [mag];J-K [mag];Amp [mag];Passband;M0 [JD];P [d];Discoverer;Year;Online information
1093;UCAC4 672-015717;;03 00 58.203;+44 14 54.84;Per;DSCT;14.85;13.21;0.457;0.08;C;2454348.2621;0.159276;LC;2017;http://var2.astro.cz/czev.php?id=1093
1094;UCAC4 669-014987;;02 59 59.706;+43 38 11.44;Per;EW;13.92;13.257;0.233;0.22;C;2454159.6907;0.537346;LC;2017;http://var2.astro.cz/czev.php?id=1094
1095;UCAC4 670-014939;;02 57 13.535;+43 53 54.74;Per;ELL;11.45;10.441;0.232;0.05;C;2454348.1746;0.162317;LC;2017;http://var2.astro.cz/czev.php?id=1095
1096;UCAC4 680-130665;;23 24 10.216;+45 48 12.86;And;EW;13.2;11.726;0.349;0.2;C;2454294.1739;0.403959;LC;2017;http://var2.astro.cz/czev.php?id=1096
1097;UCAC4 727-094393;;22 58 32.268;+55 15 07.52;Cas;EA;11.42;10.798;0.129;0.456;C;2454299.0518;2.730222;FaB, MO, JB, MP, PP;2017;http://var2.astro.cz/czev.php?id=1097
1098;UCAC4 738-078653;;21 47 29.726;+57 29 28.63;Cep;EW;13.06;11.651;0.436;;;2457627.2799;0.427533;FW;2016;http://var2.astro.cz/czev.php?id=1098
1099;UCAC4 569-048525;;11 43 35.470;+23 38 29.23;Leo;HADS;;14.556;0.226;0.25;C;2457844.383;0.048226;MM, MT;2017;http://var2.astro.cz/czev.php?id=1099
1100;UCAC4 560-034756;;06 47 09.544;+21 58 43.03;Gem;EW;14.15;12.847;0.366;0.3;C;2454057.5224;0.408798;FaB, MO, JB, MP, PP;2017;http://var2.astro.cz/czev.php?id=1100
1101;USNO-B1.0 1216-0103692;;05 47 17.827;+31 38 37.64;Aur;EA;;15.438;0.196;0.7;C;2457752.312;1.962358;PC;2017;http://var2.astro.cz/czev.php?id=1101
1102;USNO-B1.0 1215-0102722;;05 48 07.414;+31 30 13.88;Aur;EA;;15.873;0.734;0.5;C;2457715.59;3.109681;PC;2017;http://var2.astro.cz/czev.php?id=1102
1103;UCAC4 603-025989;;05 48 55.307;+30 26 48.70;Aur;EA;;14.301;0.309;0.9;C;2457714.5;6.176968;PC;2017;http://var2.astro.cz/czev.php?id=1103
1104;UCAC4 603-026087;;05 49 16.852;+30 32 13.47;Aur;EA;15.709;13.667;0.78;0.75;C;2457715.52;2.869355;PC;2014;http://var2.astro.cz/czev.php?id=1104
1105;USNO-B1.0 1216-0106760;;05 51 10.542;+31 36 27.28;Aur;EA;;15.449;0.391;0.8;C;2457743.635;1.68812;PC;2017;http://var2.astro.cz/czev.php?id=1105
1106;UCAC4 603-026661;;05 51 15.779;+30 27 34.78;Aur;DSCT;14.427;13.167;0.444;0.08;C;2457388.3546;0.170028;PC;2017;http://var2.astro.cz/czev.php?id=1106
